decile,n,mean_pred,actual
1,21871,0.32279659614823053,0.3244478990443967
2,21870,0.3597834479954678,0.3578875171467764
3,21870,0.3708452908791358,0.3705532693187014
4,21870,0.38523052796750085,0.38870598994055783
5,21870,0.40539388293202994,0.40050297210791036
6,21870,0.43763172090075575,0.4413808870598994
7,21870,0.45381974138414133,0.4636031092821216
8,21870,0.5259608566745613,0.5235939643347051
9,21870,0.6527769740298924,0.6438042981252858
10,21870,0.8291847015274186,0.8289437585733882
