decile,n,mean_pred,actual
1,9413,0.3121291983927319,0.321045362796133
2,9413,0.35660272278491834,0.34154892170402634
3,9413,0.3677191080944766,0.34845426537766916
4,9413,0.37909115602633264,0.3667268670986933
5,9412,0.39625339049879843,0.3956651083722907
6,9413,0.4350359291377808,0.4422607032826941
7,9413,0.4645658129757612,0.44417295230001064
8,9413,0.5522825370921717,0.5199192605970466
9,9413,0.6648382694204215,0.6468713481355572
10,9412,0.8220094183936497,0.8054611134721632
