season,held_out,n,actual_make,pred_make,worst_decile_gap,log_loss
2023-24,false,218701,0.47434168110799674,0.4743416811079969,0.009783367897980288,0.6419897776387572
2024-25,true,219527,0.46721360014941216,0.4691799211336055,0.01398725056179917,0.641861006291455
2025-26,true,219160,0.4710120459937945,0.47214175623281823,0.01236566755336932,0.6419537185041365
