decile,n,mean_pred,actual,season
1,3854,0.29202711489936095,0.2939802802283342,2025
2,3853,0.3310387058695832,0.3418115753957955,2025
3,3854,0.34222900933408495,0.34302023871302545,2025
4,3853,0.35772684925242954,0.3633532312483779,2025
5,3854,0.3747262693928833,0.3689673066943435,2025
6,3853,0.4006934831082103,0.3856735011679211,2025
7,3854,0.42919911155744433,0.4281266216917488,2025
8,3853,0.520146928358157,0.515442512328056,2025
9,3854,0.6117512878797984,0.6081992734820966,2025
10,3853,0.7328697706379363,0.7438359719698936,2025
