term,coef
intercept,0.9620360009438186
dist,-0.3666591895063033
dist_gt1,0.05403595081240844
dist_gt3,0.3046028366786433
dist_gt6,0.008291707988625881
dist_gt10,-0.016752706765904023
dist_gt16,-0.027045070504424045
dist_gt22,0.022025940356032718
dist_gt26,-0.03440893370479578
heave,-0.16629212879653257
angle,-0.02023545105735804
zone_restricted_area,0.1928886746445428
zone_in_the_paint_non-ra,0.10062974438301939
zone_above_the_break_3,-0.02516098383765928
zone_left_corner_3,0.014114837229007126
zone_right_corner_3,0.0317474505116294
zone_backcourt,-1.7379636099456044
act_putback,-0.5253046283174643
act_alley_oop,0.8041027456321137
act_dunk,1.2077404312798403
act_hook,-0.18390060895127305
act_floater,-0.21179680407410698
act_layup,0.1199950576835801
act_off_dribble,-0.07480949595916499
act_post_jumper,-0.27288579964564785
act_putback_x_dist,0.03415889727927433
act_hook_x_dist,-0.0020375144427492446
act_floater_x_dist,0.004921096126512098
act_layup_x_dist,-0.13738646753389872
mod_driving,-0.0936198403604916
mod_cutting,0.5629085036866963
mod_running,0.16464123872286093
area_left_side,-0.024777326285906957
area_left_side_center,-0.02738738672446596
area_right_side_center,-0.02378110444214061
area_right_side,-0.0099718178230457
area_back_court,-1.0360368065493542
