term,coef
intercept,0.9620360009437275
dist,-0.36665918950648324
dist_gt1,0.0540359508126121
dist_gt3,0.3046028366786975
dist_gt6,0.008291707988523361
dist_gt10,-0.016752706765866727
dist_gt16,-0.027045070504434717
dist_gt22,0.022025940356029648
dist_gt26,-0.03440893370479391
heave,-0.16629212879653554
angle,-0.020235451057356694
zone_restricted_area,0.19288867464474896
zone_in_the_paint_non-ra,0.10062974438306137
zone_above_the_break_3,-0.025160983837658583
zone_left_corner_3,0.014114837228978392
zone_right_corner_3,0.031747450511601424
zone_backcourt,-1.7379636099456037
act_putback,-0.5253046283175544
act_alley_oop,0.8041027456321288
act_dunk,1.2077404312798503
act_hook,-0.18390060895122715
act_floater,-0.211796804074091
act_layup,0.11999505768360529
act_off_dribble,-0.0748094959591597
act_post_jumper,-0.27288579964563575
act_putback_x_dist,0.03415889727931231
act_hook_x_dist,-0.00203751444275507
act_floater_x_dist,0.004921096126511454
act_layup_x_dist,-0.13738646753389605
mod_driving,-0.09361984036049192
mod_cutting,0.5629085036866961
mod_running,0.16464123872285913
area_left_side,-0.024777326285879028
area_left_side_center,-0.027387386724466688
area_right_side_center,-0.02378110444214018
area_right_side,-0.00997181782301828
area_back_court,-1.0360368065493566
