term,coef_2023-24,coef_2024-25,coef_2025-26,max_drift
intercept,0.9620360009438186,1.025297926834721,1.0680537932510412,0.10601779230722264
dist,-0.3666591895063033,-0.4404451063245802,-0.3595823116327506,0.07378591681827695
dist_gt1,0.05403595081240844,0.12634754885193433,0.04602423029492153,0.07231159803952589
dist_gt3,0.3046028366786433,0.3211953134106776,0.2900887630484867,0.01659247673203429
dist_gt6,0.008291707988625881,0.0022391067037319714,0.02991020359747501,0.02161849560884913
dist_gt10,-0.016752706765904023,-0.03882380583127249,-0.03557153317253826,0.022071099065368468
dist_gt16,-0.027045070504424045,-0.026789902298089505,-0.029719209539949543,0.002674139035525498
dist_gt22,0.022025940356032718,0.05142884670363672,0.029098528539304943,0.029402906347604
dist_gt26,-0.03440893370479578,-0.0440113383389856,-0.021484785207241366,0.012924148497554414
heave,-0.16629212879653257,-0.13033253123484873,-0.039250651494961174,0.1270414773015714
angle,-0.02023545105735804,-0.007299592753759302,-0.0035645315939338207,0.01667091946342422
zone_restricted_area,0.1928886746445428,0.19380357955159042,0.17685544997191666,0.016033224672626134
zone_in_the_paint_non-ra,0.10062974438301939,0.05305233760262718,0.03286532940340546,0.06776441497961393
zone_above_the_break_3,-0.02516098383765928,-0.029752491707996466,0.04589095528293182,0.0710519391205911
zone_left_corner_3,0.014114837229007126,0.07202755598683422,0.17497699196830824,0.1608621547393011
zone_right_corner_3,0.0317474505116294,0.05436229285457212,0.10087883832144227,0.06913138780981287
zone_backcourt,-1.7379636099456044,-0.18984362125719442,-0.6424999081719458,1.54811998868841
act_putback,-0.5253046283174643,-0.6355126070875142,-0.6683365251118695,0.1430318967944052
act_alley_oop,0.8041027456321137,0.9191213884972925,0.7561987103731875,0.11501864286517882
act_dunk,1.2077404312798403,1.1771107838162935,1.2162940480746194,0.030629647463546794
act_hook,-0.18390060895127305,0.0347796110604783,-0.07277708120831997,0.21868022001175136
act_floater,-0.21179680407410698,-0.13767936009372755,-0.2520800112127803,0.07411744398037942
act_layup,0.1199950576835801,0.09932912679957306,0.06039462680657356,0.05960043087700654
act_off_dribble,-0.07480949595916499,-0.10502231182322763,-0.09762142742731798,0.030212815864062645
act_post_jumper,-0.27288579964564785,-0.26713274612377347,-0.22741276762014923,0.04547303202549863
act_putback_x_dist,0.03415889727927433,0.08562151423526734,0.07950664630700306,0.05146261695599301
act_hook_x_dist,-0.0020375144427492446,-0.026968727112739337,-0.009365494998407603,0.024931212669990092
act_floater_x_dist,0.004921096126512098,0.0012712653679386142,0.017034845805058634,0.012113749678546535
act_layup_x_dist,-0.13738646753389872,-0.09930815017083627,-0.10321103470694419,0.03807831736306244
mod_driving,-0.0936198403604916,-0.17020070804615184,-0.1764012697785634,0.0827814294180718
mod_cutting,0.5629085036866963,0.4253408049280813,0.3512251463465582,0.2116833573401381
mod_running,0.16464123872286093,0.12341323950331146,0.10600808259353203,0.0586331561293289
area_left_side,-0.024777326285906957,-0.024476582656545853,-0.11453141152672514,0.08975408524081818
area_left_side_center,-0.02738738672446596,0.009606695923407464,-0.024623921198920058,0.03699408264787342
area_right_side_center,-0.02378110444214061,-0.02142970633114339,-0.05034588157641137,0.026564777134270762
area_right_side,-0.0099718178230457,0.008975896342352296,-0.04364399670119616,0.03367217887815046
area_back_court,-1.0360368065493542,-2.3928407384997414,1.853666359007558,2.889703165556912
