pair,method,mae,rmse,r,n
2023-24 to 2024-25,eb (diet + shrunken making),0.05490788652109009,0.07110019683320569,0.6539029189831467,215
2023-24 to 2024-25,naive carry-forward (raw pps),0.0619973158494674,0.0802298068692885,0.6197964125748466,215
2023-24 to 2024-25,diet-only (xpps + league making),0.06507545779197782,0.08237483366355847,0.5120383274268604,215
2024-25 to 2025-26,eb (diet + shrunken making),0.057944843489812735,0.07161121222432397,0.6150464112643672,207
2024-25 to 2025-26,naive carry-forward (raw pps),0.0643652338596227,0.07945227548208694,0.5880363104299337,207
2024-25 to 2025-26,diet-only (xpps + league making),0.06825110723151584,0.08576335575500399,0.4322495117554094,207
