decile,n,mean_pred,actual
1,21871,0.32279659614823303,0.3244478990443949
2,21870,0.3597834479954678,0.35788751714677586
3,21870,0.37084529087913554,0.37055326931870114
4,21870,0.38523052796749896,0.3887059899405568
5,21870,0.4053938829320283,0.40050297210791
6,21870,0.43763172090075814,0.4413808870598996
7,21870,0.45381974138413994,0.46360310928212217
8,21870,0.5259608566745582,0.5235939643347042
9,21870,0.652776974029889,0.6438042981252876
10,21870,0.8291847015274234,0.8289437585733885
