PLAYER_ID,PLAYER_NAME,fga,pts,xpts,pps,xpps,making_100,making_100_se
1641809,Drew Peterson,6,11,7.498443336614505,1.8333333333333333,1.2497405561024175,58.35927772309159,62.08334331700159
1628391,D.J. Wilson,6,10,7.051414596774793,1.6666666666666667,1.1752357661291322,49.14309005375344,51.68234223464639
1630259,Jordan Ford,7,10,7.060450311515103,1.4285714285714286,1.0086357587878718,41.99356697835567,49.35816417662611
1629685,Dylan Windler,30,43,34.220157041360864,1.4333333333333333,1.1406719013786955,29.26614319546379,27.03106853756983
1630643,Jay Huff,15,21,16.946960774322818,1.4,1.1297973849548546,27.020261504514547,32.03823864812509
1629626,Bol Bol,151,208,167.75936497921535,1.3774834437086092,1.1109891720477838,26.64942716608255,9.130432183822272
1630284,Kevon Harris,3,4,3.22409899893869,1.3333333333333333,1.0746996663128967,25.86336670204366,61.82115130482623
1631159,Leonard Miller,20,28,22.897178911755166,1.4,1.1448589455877582,25.51410544122417,24.772077226469293
1630564,RaiQuan Gray,17,23,18.911496798404034,1.3529411764705883,1.1124409881414137,24.05001883291745,30.223571265027267
1630288,Jeff Dowtin Jr.,36,49,41.79054817170195,1.3611111111111112,1.1608485603250542,20.026255078605697,20.72189703951958
203999,Nikola Jokic,1411,1727,1456.3059205545073,1.223954642097803,1.0321090861477726,19.184555595003022,2.790395792579231
1630322,Lindy Waters III,104,135,115.25942416736329,1.2980769230769231,1.1082636939169548,18.981322915996834,13.851853006400674
1629726,Garrison Mathews,226,291,248.62494504902773,1.2876106194690264,1.1001103763231315,18.7500243145895,9.484446378089618
1628960,Grayson Allen,682,885,764.2531249009927,1.2976539589442815,1.1206057549867927,17.70482039574887,5.1111254888588356
1630561,David Duke Jr.,18,23,19.98548032296222,1.2777777777777777,1.1103044623867901,16.74733153909877,27.802337522259606
1629716,Marques Bolden,25,34,30.052480686330853,1.36,1.202099227453234,15.790077254676591,18.229225671359746
201939,Stephen Curry,1445,1657,1432.4376931334311,1.1467128027681661,0.9913063620300562,15.540644073810995,3.4112378983831264
204456,T.J. McConnell,593,678,586.9259513232196,1.1433389544688026,0.9897570848620904,15.358186960671235,4.142638642845691
1630249,Vit Krejci,104,130,114.21609773701356,1.25,1.0982317090097458,15.176829099025428,12.976658347886433
1631157,Ryan Rollins,27,31,26.932432165172678,1.1481481481481481,0.997497487598988,15.06506605491601,20.62752454956165
1629029,Luka Doncic,1652,1892,1644.3775682077994,1.145278450363196,0.9953859371717914,14.98925131914047,2.965140865513064
1628379,Luke Kennard,315,389,341.8706477267097,1.234920634920635,1.0853036435768562,14.96169913437787,7.847182503660129
1630188,Jalen Smith,395,529,471.5250131050016,1.339240506329114,1.1937342103924091,14.550629593670475,5.751894140748903
203114,Khris Middleton,643,728,635.6389530197736,1.1321928460342146,0.9885520264693213,14.364081956489336,4.695808670913168
1630573,Sam Hauser,558,695,615.9426436025875,1.2455197132616487,1.1038398630870745,14.167985017457434,5.93620500707528
1630346,Matt Ryan,113,139,123.03125323033011,1.2300884955752212,1.0887721524807974,14.131634309442381,13.258024572040666
201142,Kevin Durant,1436,1670,1467.2339070049632,1.1629526462395543,1.0217506316190552,14.12020146204992,2.970260625784178
201144,Mike Conley,644,767,676.3685524162373,1.1909937888198758,1.0502617273544057,14.073206146547,5.228789995719307
1626181,Norman Powell,768,913,807.5413684890079,1.1888020833333333,1.051486156886729,13.731592644660426,4.498887213569285
201143,Al Horford,419,536,478.65153041548683,1.279236276849642,1.142366421039348,13.686985581029395,6.279231240888815
1630548,Johnny Juzang,110,134,119.1455330405462,1.2181818181818183,1.083141209459511,13.504060872230731,12.923597268815692
204060,Joe Ingles,227,268,237.50252433536943,1.1806167400881058,1.0462666270280592,13.435011306004657,8.927294485340541
1629162,Jordan McLaughlin,145,182,162.89385613286595,1.2551724137931035,1.1234059043645928,13.17665094285107,11.255113521931861
1631260,AJ Green,196,235,209.9812059519513,1.1989795918367347,1.071332683428323,12.764690840841176,10.06743738952531
1631197,Jared Rhoden,66,78,69.63904397333455,1.1818181818181819,1.0551370298990084,12.668115191917344,15.099979739453055
203482,Kelly Olynyk,497,612,549.1183714438,1.2313883299798793,1.1048659385187123,12.652239146116697,5.00232953367873
202681,Kyrie Irving,1131,1297,1154.4275005940083,1.1467727674624226,1.0207139704633141,12.605879699910853,3.541907727328702
1626145,Tyus Jones,666,758,675.1340449008717,1.1381381381381381,1.013714782133441,12.442335600469717,4.651584563903112
1629655,Daniel Gafford,480,696,636.6165620329925,1.45,1.326284504235401,12.37154957645989,3.6912127405879467
1630169,Tyrese Haliburton,1048,1195,1067.8182520614603,1.140267175572519,1.018910545860172,12.135662971234707,3.822568125993013
1631165,Keon Ellis,232,284,255.8668856664063,1.2241379310344827,1.1028745071827857,12.126342385169703,8.834649837997373
1630202,Payton Pritchard,635,741,664.0402552093877,1.1669291338582677,1.0457326853691145,12.119644848915318,5.072894721812225
203957,Dante Exum,302,375,338.57559542798555,1.2417218543046358,1.1211112431390249,12.061061116561076,6.7285627285671055
202695,Kawhi Leonard,1162,1360,1220.487836698071,1.1703958691910499,1.0503337665215757,12.006210266947411,3.3094579040366106
1629647,Darius Bazley,30,38,34.455754916150234,1.2666666666666666,1.1485251638716745,11.81415027949922,19.155813859367488
1630198,Isaiah Joe,485,591,534.2470446515432,1.2185567010309277,1.1015402982506046,11.701640278032329,6.174978857912543
1631114,Jalen Williams,993,1175,1064.1515254045182,1.1832829808660625,1.071653097084107,11.162988378195546,3.4999277370086936
203468,CJ McCollum,1055,1207,1090.0765621338305,1.1440758293838862,1.0332479261932044,11.082790319068197,3.929461150950668
1629618,Jalen Pickett,35,39,35.19856936094208,1.1142857142857143,1.0056734103126308,10.861230397308342,22.22152238083861
201950,Jrue Holiday,689,800,725.478407739861,1.1611030478955007,1.0529439880114093,10.815905988409137,4.700955339279073
1629646,Charles Bassey,40,58,53.87754727533726,1.45,1.3469386818834315,10.306131811656858,13.2059670072497
1627736,Malik Beasley,722,864,791.0824948691651,1.1966759002770082,1.0956821258575693,10.099377441943894,5.0832951378041615
1630557,Corey Kispert,794,956,875.9518049261807,1.2040302267002518,1.10321386010854,10.0816366591712,4.498932578627824
1628983,Shai Gilgeous-Alexander,1487,1687,1537.1972421006121,1.1344989912575656,1.0337573921322207,10.07415991253449,2.7584137001283775
1630598,Aaron Wiggins,377,486,448.4246114628882,1.2891246684350133,1.1894552028193321,9.966946561568115,6.036903883967642
203954,Joel Embiid,851,954,870.461009248286,1.1210340775558167,1.0228684009968108,9.816567655900585,3.610676977043897
