bucket,n,pps,xpps,execution_100
00-04s (rush),4684,0.7124252775405633,0.9279826637269989,-21.55573861864356
05-24s,4544,1.033450704225352,1.088947969317105,-5.54972650917529
25-36s (2-for-1 window),4607,1.0314738441502032,1.0893253722458291,-5.785152809562599
37s+,204866,1.1044878115451,1.0970368200322906,0.7450991512809368
